id,date,method,pathname,status,timestamp,level,event_message,log_type,log_count,logs,auth_user
7be33105-c546-458e-9597-30e63674bfd3,"""2026-09-19T17:59:20.536Z""",,,00000,2026-09-19T17:59:20.536000,success,"statement: SET statement_timeout='58s'; SET idle_session_timeout='58s';

CREATE OR REPLACE FUNCTION pg_temp.count_estimate(
    query text
) RETURNS integer LANGUAGE plpgsql AS $$
DECLARE
    plan jsonb;
BEGIN
    EXECUTE 'EXPLAIN (FORMAT JSON)' || query INTO plan;
    RETURN plan->0->'Plan'->'Plan Rows';
END;
$$;


with approximation as (
    select reltuples as estimate
    from pg_class
    where oid = 17609
)
select 
  case 
    when estimate > 50000 then estimate
    else (select count(*) from public.patients)
  end as count,
  estimate > 50000 as is_estimate
from approximation;


-- source: dashboard
-- user: session:2bbd0080-c543-41ec-8271-e17a615330c7
-- date: 2026-09-19T17:59:20.052Z",postgres,null,[],null
25589f07-6123-4122-ae19-6e3ad7fd7451,"""2026-09-19T17:58:51.936Z""",,,23505,2026-09-19T17:58:51.936000,error,"duplicate key value violates unique constraint ""bucketid_objname""",postgres,null,[],null
bcd7b080-c6b9-4d44-b2a2-efbc754a40d4,"""2026-09-19T17:58:51.887Z""",POST,/storage/v1/object/fundus-images/left_04f007de-f95f-44d1-be9e-f7af360018e3.jpg,400,2026-09-19T17:58:51.887000,warning,POST | 400 | https://ceuvbmchntjytouatigz.supabase.co/storage/v1/object/fundus-images/left_04f007de-f95f-44d1-be9e-f7af360018e3.jpg | Dart/3.13 (dart:io),edge,null,[],1706ccc8-49a4-487b-89d1-52057927247c
fb47eecf-e2e7-4b04-a41c-a7b9f7df60dc,"""2026-09-19T17:58:51.790Z""",,,22P02,2026-09-19T17:58:51.790000,error,"invalid input syntax for type uuid: ""ASHA_MOBILE_01""",postgres,null,[],null
588e3f95-d993-497e-8d1a-80e68bad0af6,"""2026-09-19T17:58:51.385Z""",POST,/rest/v1/patients,400,2026-09-19T17:58:51.385000,warning,POST | 400 | https://ceuvbmchntjytouatigz.supabase.co/rest/v1/patients?on_conflict=local_id | Dart/3.13 (dart:io),edge,null,[],1706ccc8-49a4-487b-89d1-52057927247c
0a741ed5-f758-4518-ac94-ed3b15797dd4,"""2026-09-19T17:48:44.405Z""",,,00000,2026-09-19T17:48:44.405000,success,"checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 2 recycled; write=0.208 s, sync=0.004 s, total=0.231 s; sync files=3, longest=0.003 s, average=0.002 s; distance=32768 kB, estimate=45365 kB; lsn=0/32000080, redo lsn=0/32000028",postgres,null,[],null
5b8c3a64-af6a-47d9-b984-b491d80439c6,"""2026-09-19T17:48:44.175Z""",,,00000,2026-09-19T17:48:44.175000,success,checkpoint starting: time,postgres,null,[],null
fcd0cbbd-8edb-42f2-a23b-116def350b39,"""2026-09-19T17:43:50.732Z""",,,23505,2026-09-19T17:43:50.732000,error,"duplicate key value violates unique constraint ""bucketid_objname""",postgres,null,[],null
21e44e9b-fcb5-4096-bce0-e113b10b6cc4,"""2026-09-19T17:43:50.674Z""",POST,/storage/v1/object/fundus-images/left_04f007de-f95f-44d1-be9e-f7af360018e3.jpg,400,2026-09-19T17:43:50.674000,warning,POST | 400 | https://ceuvbmchntjytouatigz.supabase.co/storage/v1/object/fundus-images/left_04f007de-f95f-44d1-be9e-f7af360018e3.jpg | Dart/3.13 (dart:io),edge,null,[],1706ccc8-49a4-487b-89d1-52057927247c
c79adb8a-4302-49b1-ae25-013787da4d52,"""2026-09-19T17:43:50.558Z""",,,22P02,2026-09-19T17:43:50.558000,error,"invalid input syntax for type uuid: ""ASHA_MOBILE_01""",postgres,null,[],null
